title,author,edition,reviews,ratings,synopsis,genre,bookcategory
IELTS Practice Tests: With Explanatory Key And CD Pack,Peter May,"Paperback,– Jan 2011",3.3 out of 5 stars,7 customer reviews,"International English Language Testing System or IELTS is an English proficiency test for students preparing to apply for undergraduate and graduate studies. It is especially important for international students. IELTS Practice Tests: with Explanatory Key and Audio CD by Peter May is a book consisting of essential practice material for the IELTS examination. Along with reading and writing manuals for improving your writing skills and pronunciations, the book also has several key concepts and tips to answer tricky questions.
IELTS Practice Tests puts an emphasis on the strategy that lies behind answering select problems, it goes on to describe the correct approach to completing each section of the test. This book focusses on improving the ability of the students to identify errors and be quick with their choices in every task set out in front of them.
With detailed explanatory keys providing sample answers to the academic writing tests, students get additional assistance in form of audio scripts and two discs. IELTS Practice Tests also contains four practice tests with sections on reading and writing. The answer sheets in the book are printable for easier usage.
IELTS Practice Tests: with Explanatory Key and Audio CD was published by OUP Oxford in 2004 and is available in paperback.
Key Features:
The book comes with an Audio CD containing listening material for the four practice tests.
It provides an access to an online practice test link with automatic marking and an online dictionary lookup.",Linguistics (Books),"Language, Linguistics & Writing"
Flash Boys,Michael Lewis,"Paperback,– 28 May 2015",4.2 out of 5 stars,53 customer reviews,"Nowadays, the world's money is traded by computer code, inside black boxes in heavily guarded buildings. Even the experts entrusted with your cash don't know what's happening to it. In Flash Boys, Michael Lewis tells the explosive story of how one group of ingenious oddballs and misfits set out to expose what was going on. It's the story of what it's like to declare war on some of the richest and most powerful people in the world. It's about taking on an entire system. And it's about the madness that has taken hold of the financial markets today.",Investments & Securities,Politics
"The Adventures of Blake and Mortimer: Mystery of the Great Pyramid, Part 2 v. 3 (The Adventures of Blake & Mortimer)",Edgar P. Jacobs,"Paperback,– Illustrated, 3 Jan 2008",3.7 out of 5 stars,3 customer reviews,"Captain Blake seems to have lost the first round in Part 1, having been assassinated at Athens airport. But a furious Mortimer swears that he'll never stop trying to avenge his friend. He goes on the hunt, but information is scarce. Strange happening occur when he comes under the protection of Sheik Abdel Razek and Mortimer soon feels like he's losing his way in his investigation which will lead him to the darkest depths of the Great Pyramid...",Children's Historical Fiction (Books),Comics & Mangas
Cradle to Cradle (Patterns of Life),Michael Braungart,"Paperback,– 29 Jan 2009",4.0 out of 5 stars,2 customer reviews,"Recycling is good, isn’t it?

In this visionary book, chemist Michael Braungart and architect William McDonough challenge this status quo and put forward a manifesto for an intriguing and radically different philosophy of environmentalism.

""Reduce, reuse, recycle”. This is the standard “cradle to grave” manufacturing model dating back to the Industrial Revolution that we still follow today. In this thought-provoking read, the authors propose that instead of minimising waste, we should be striving to create value. This is the essence of Cradle to Cradle: waste need not to exist at all. By providing a framework of redesign of everything from carpets to corporate campuses, McDonough and Braungart make a revolutionary yet viable case for change and for remaking the way we make things.",Sustainable Development,"Arts, Film & Photography"
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Paperback,– 28 Aug 2018",4.8 out of 5 stars,77 customer reviews,"'I couldn’t put down this thriller . . . the perfect book to read by the fire this winter.' Bill Gates, '5 books I loved in 2018' WINNER OF THE FINANCIAL TIMES/MCKINSEY BUSINESS BOOK OF THE YEAR AWARD 2018 The full inside story of the breathtaking rise and shocking collapse of Theranos, the multibillion-dollar biotech startup, by the prize-winning journalist who first broke the story and pursued it to the end, despite pressure from its charismatic CEO and threats by her lawyers. In 2014, Theranos founder and CEO Elizabeth Holmes was widely seen as the female Steve Jobs: a brilliant Stanford dropout whose startup ""unicorn"" promised to revolutionize the medical industry with a machine that would make blood testing significantly faster and easier. Backed by investors such as Larry Ellison and Tim Draper, Theranos sold shares in a fundraising round that valued the company at more than $9 billion, putting Holmes's worth at an estimated $4.7 billion. There was just one problem: The technology didn't work. In Bad Blood, John Carreyrou tells the riveting story of the biggest corporate fraud since Enron, a tale of ambition and hubris set amid the bold promises of Silicon Valley. Now to be adapted into a film, with Jennifer Lawrence to star. 'Chilling . . . Reads like a West Coast version of All the President’s Men.' New York Times Book Review",Biotechnology Engineering Textbooks,"Biographies, Diaries & True Accounts"
Refreshing Mandala - Colouring Book for Adults Book 4,Dreamland Publications,"Paperback,– 2017",4.3 out of 5 stars,16 customer reviews,"Mandala is a symbol made from circles, squares or triangles that represents the cosmos. Colouring is the best calming tool that unleash your inner creativity. The Mandala Colouring Book invites you to relax, find tranquility and balance in your life as you fill in colours on each page of this book with your own creative essence.","Handicrafts, Decorative Arts & Crafts (Books)","Arts, Film & Photography"
internet of Things: A Hands-On Approach,"Arsheep Bahga, Vijay Madisetti","Paperback,– 2015",4.5 out of 5 stars,35 customer reviews,"This book is written as a textbook for educational programs at colleges and universities. It can also be used by IoT (Internet of Things) vendors and service providers for training their program developers. The authors have used an immersive 'hands on' approach, similar to the one adopted in the companion book, Cloud Computing: A Hands-on Approach, to help readers gain expertise in developing working code for real-world IoT applications.","Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media"
A Time To Kill,John Grisham,"Paperback,– 3 Dec 1992",4.2 out of 5 stars,37 customer reviews,"A Time To Kill is available in paperback. The book has 672 pages. The language of the book is English, and the author of the book is John Grisham.
A ten-year old African American girl is brutally raped and beaten by two white racist drunken men. Inspite of committing such a heinous crime, the perpetrators remain unrepentant. This horrendous act unleashes mayhem in the town of Clayton, Mississippi where the story is set.
Carl Lee, the father of the wronged girl, is driven into a mad rage and decides to take the law in his hands in order to bring justice to his daughter. Armed with an assault rifle, he sets out to avenge the gruesome crime committed on his daughter and kills the culprits. He is arrested and is to be tried for capital murder.
This is a moving tale about a young defence lawyer, Jake Brigance, who decides to defend the black Vietnam war hero. The people of the town are divided in their opinion about the the crime committed by Carl. The book takes you through a journey of the lawyer’s struggle to save his client. Also at stake is the young attorney’s life. The novel was published in the year 1992 by RHUK.
Key Features:
The book sensitively explores the relationship between black and whites. It is a legal suspense thriller and keeps you on an edge at all times.",Action & Adventure (Books),Action & Adventure
Monstress Volume 1: Awakening,"Marjorie Liu, Sana Takeda","Paperback,– 19 Jul 2016",3.7 out of 5 stars,4 customer reviews,"2018 Eisner Award winner, Best Writer 2018 Eisner Award winner, Best Painter/Multimedia Artist 2018 Eisner Award winner, Best Continuing Series 2018 Eisner Award winner, Best Publication for Teens 2018 Eisner Award winner, Best Cover Artist 2018 Harvey Award winner, Book of the Year 2018 Hugo Award winner, Best Graphic Story 2018 British Fantasy Award winner, Best Comic/Graphic Novel 2018, 2016, 2015 Entertainment Weekly's The Best Comic Books of the Year 2018, Newsweek's Best Comic Books of the Year 2018, The Washington Post's 10 Best Graphic Novels of the Year 2018, Barnes & Noble's Best Books of the Year 2018, YALSA's Great Graphic Novels for Teens 2018, Thrillist's Best Comics & Graphic Novels of the Year 2018, Powell's Best Science-Fiction, Fantasy, Horror, and Graphic Novels of the Year Set in an alternate matriarchal 1900's Asia, in a richly imagined world of art deco-inflected steam punk, MONSTRESS tells the story of a teenage girl who is struggling to survive the trauma of war, and who shares a mysterious psychic link with a monster of tremendous power, a connection that will transform them both and make them the target of both human and otherworldly powers. About the Creators: New York Times bestselling and award-winning writer Marjorie Liu is best known for her fiction and comic books. She teaches comic book writing at MIT, and leads a class on Popular Fiction at the Voices of Our Nation (VONA) workshop. Ms. Liu's extensive work includes the bestselling ""Astonishing X-Men"" for Marvel Comics, which featured the gay wedding of X-Man Northstar and was subsequently nominated for a GLAAD Media Award for outstanding media images of the lesbian, gay, bisexual and transgender community. Prior to writing full-time, Liu was a lawyer. She currently resides in Boston. Sana Takeda is an illustrator and comic book artist who was born in Niigata, and now resides in Tokyo, Japan. At age 20 she started out as a 3D CGI designer for SEGA, a Japanese video game company, and became a freelance artist when she was 25. She is still an artist, and has worked on titles such as ""X-23"" and ""Ms. Marvel"" for Marvel Comics, and is an illustrator for trading card games in Japan.",Comics,Comics & Mangas
CCNA Routing and Switching 200-125 Official Cert Guide Library,Wendell Odom,"Hardcover,– 8 Jul 2016",5.0 out of 5 stars,6 customer reviews,"The new edition of bestselling CCNA Cert Library by Wendell Odom is a comprehensive review and practice package for the latest CCNA exams. The two books contained in this package, CCENT/CCNA ICND1 Official Cert Guide, and CCNA ICND2 Official Cert Guide, present complete reviews and a more challenging and realistic preparation experience. The books will be fully updated to cover the latest CCNA exam topics.
 
The companion DVDs contains the powerful Pearson IT Certification Practice Test engine, complete with hundreds of well-reviewed, exam-realistic questions. The assessment engine offers you a wealth of customization options and reporting features, laying out a complete assessment of your knowledge to help you focus your study where it is needed most. This new edition also includes a free copy of the CCNA Network Simulator Lite edition complete with meaningful lab exercises, which help you hone your hands-on skills with the Cisco user interface for routers and switches. The DVDs also contain more than 60 minutes of personal video mentoring from the author focused on subnetting.
 
Well-regarded for its level of detail, assessment features, and challenging review questions and exercises, these official study guides help you master the concepts and techniques that will enable you to succeed on the exam the first time.
 This package includes the following two products:
1. CCENT/CCNA ICND1 Official Cert Guide
2. CCNA ICND2 Official Cert Guide",Networks & System Administration (Books),"Computing, Internet & Digital Media"
The Deadly Dozen: India's Most Notorious Serial Killers,Anirban Bhattacharya,"Paperback,– 10 Jun 2019",5.0 out of 5 stars,8 customer reviews,"A schoolteacher who killed multiple paramours with cyanide; a mother who trained her daughters to kill children; a thug from the 1800s who slaughtered more than 900 people, a manservant who killed girls and devoured their body parts.
If you thought serial killers was a Western phenomenon, think again!
These bone-chilling stories in The Deadly Dozen will take you into the hearts and heads of India's most devious murderers and schemers, exploring what made them kill and why?",True Accounts (Books),"Crime, Thriller & Mystery"
High Performance MySQL,Schwartz Baron,"Paperback,– 2012",4.8 out of 5 stars,10 customer reviews,"How can you bring out MySQLs full power? With High Performance MySQL, you'll learn advanced techniques for everything from designing schemas, indexes and queries to tuning your MySQL server, operating system and hardware to their fullest potential. This guide also teaches you safe and practical ways to scale applications through replication, load balancing, high availability and failover.
Updated to reflect recent advances in MySQL and InnoDB performance, features and tools, this third edition not only offers specific examples of how MySQL works, it also teaches you why this system works as it does, with illustrative stories and case studies that demonstrate MySQLs principles in action. With this book, you'll learn how to think in MySQL.
Learn the effects of new features in MySQL 5.5, including stored procedures, partitioned databases, triggers and views.
Implement improvements in replication, high availability and clustering.
Achieve high performance when running MySQL in the cloud.
Optimize advanced querying features, such as full-text searches.
Take advantage of modern multi-core CPUs and solid-state disks.
Explore backup and recovery strategies including new tools for hot online backups.","Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media"
The First Lady,James Patterson,"Paperback,– 25 Dec 2018",4.5 out of 5 stars,2 customer reviews,"A President's affair to remember soon becomes a nightmare he wishes he could forget in James Patterson's gripping new stand-alone thriller. As he steps out of his hotel in Atlanta with the love of his life, the last thing President Tucker expects is to be greeted by the flashing cameras of the media. Or for his affair to be revealed to the world. The President must act to stop the scandal from spiralling out of control, just weeks before the vote for a second term. But not before he figures out how to keep the First Lady on his side. Grace Tucker, however, has other plans. Betrayed and deeply hurt, she heads for a safe haven outside the capital. But when her security detail loses all trace of her, all hell breaks loose. The First Lady is missing. Did she run away. Or is she in more danger than they could have imagined.","Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery"
Chess Openings for Kids: Featuring 50 Mighty Opening Systems (Chess for Schools),Graham Burgess,"Hardcover,– 26 Apr 2011",5.0 out of 5 stars,2 customer reviews,"Introduces readers to the names and starting moves of the main chess openings, while highlighting several devastating opening traps.","Children's Crafts, Hobbies & Practical Interests (Books)",Humour
The Brothers Karamazov (Penguin Classics),Fyodor Dostoyevsky,"Paperback,– 27 Feb 2003",4.3 out of 5 stars,35 customer reviews,"Fyodor Dostoyevsky's powerful meditation on faith, meaning and morality, The Brothers Karamazov is translated with an introduction and notes by David McDuff in Penguin Classics. When brutal landowner Fyodor Karamazov is murdered, the lives of his sons are changed irrevocably: Mitya, the sensualist, whose bitter rivalry with his father immediately places him under suspicion for parricide; Ivan, the intellectual, whose mental tortures drive him to breakdown; the spiritual Alyosha, who tries to heal the family's rifts; and the shadowy figure of their bastard half-brother Smerdyakov. As the ensuing investigation and trial reveal the true identity of the murderer, Dostoyevsky's dark masterpiece evokes a world where the lines between innocence and corruption, good and evil, blur and everyone's faith in humanity is tested. This powerful translation of The Brothers Karamazov features and introduction highlighting Dostoyevsky's recurrent themes of guilt and salvation, with a new chronology and further reading. Fyodor Mikhailovich Dostoyevsky (1821-1881) was born in Moscow. From 1849-54 he lived in a convict prison, and in later years his passion for gambling led him deeply into debt. His other works available in Penguin Classics include Crime & Punishment, The Idiot and Demons. If you enjoyed The Brothers Karamazov you might like Nikolai Gogol's Dead Souls, also available in Penguin Classics. 'There is no writer who better demonstrates the contradictions and fluctuations of the creative mind than Dostoyevsky, and nowhere more astonishingly than in The Brothers Karamazov' Joyce Carol Oates 'Dostoyevsky was the only psychologist from whom I had anything to learn: he belongs to the happiest windfalls of my life' Friedrich Nietzsche 'The most magnificent novel ever written' Sigmund Freud",Historical Fiction (Books),Romance
My Diarrhe,Miranda Sings,"Hardcover,– 22 Jul 2018",3.0 out of 5 stars,1 customer review,"From the 1 New York Times bestselling author of Selp-Helf comes the “leaked” diary of YouTube comedic personality Miranda Sings. Taped together so the world can read all about her life through her eyes, My Diarrhe includes pages from Miranda’s baby book, poems from her years as an emotional teen, secrets from her dating life and stories from her rise to fame. As Miranda herself says, “It has every single secret about my life in it. My first kiss, my first period, stories about secret family members, secret photos of other celebrities, etc. so don’t read it!”",Biographies & Autobiographies (Books),Humour
The Modern Monk,Hindol Sengupta,"Paperback,– 13 Jan 2017",4.3 out of 5 stars,28 customer reviews,"He loved French cookbooks, invented a new way of making khichdi, was interested in the engineering behind ship-building and the technology that makes ammunition. More than 100 years after his death, do we really know or understand the bewildering, fascinating, complex man Swami Vivekananda was? Vivekananda is one of the most important figures in the modern imagination of India. He is also an utterly modern man, consistently challenging his own views and embracing diverse, even conflicting arguments. It is his modernity that appeals to us today. He is unlike any monk we have known. He is confined neither by history nor by ritual and is constantly questioning everything around him, including himself. It is in Vivekananda’s contradictions, his doubts, his fears and his failings that he recognize his profoundly compelling divinity—he teaches us that to try and understand God, first one must truly comprehend one’s own self. This book is an argument that it is not just because he is close to God but also because he is so tantalizingly immersed in being human that keeps us returning to Vivekananda and his immortal wisdom.",Hinduism (Books),"Biographies, Diaries & True Accounts"
Chess Middlegames Essential Knowledge (Cadogan Chess Books),"IU. Averbakh, K.P. Neat","Paperback,– Import, 5 Jul 1996",4.5 out of 5 stars,2 customer reviews,"In this companion volume to his classic 'Chess Endings: Essential Knowledge, ' Grandmaster Averbakh takes the reader through the various steps to success in the middlegame. He explains the tactical skills and positional strategies that every chessplayer needs to master. Topics covered include coordinating the pieces, attack and defence, combinations and sacrifices, and much more. Yuri Averbakh is a former Soviet champion and world championship candidate. He is also the author of the five-volume treatise 'Comprehensive Chess Endings' (also translated by Ken Neat) and the perennially popular 'Chess Endings: Essential Knowledge.",Sports Training & Coaching (Books),Sports
Out in the Sun (Key Words),Ladybird,"Hardcover,– 18 Aug 2009",4.5 out of 5 stars,2 customer reviews,"Key Words with Peter and Jane uses the most frequently met words in the English language as a starting point for learning to read successfully and confidently. The Key Words reading scheme is scientifically researched and world renowned. In book 5b, Peter and Jane have fun playing outside in 46 new words including 'how', 'from', 'soon' and 'street'. Once this book has been completed, the child moves on to book 6b. The Key Words with Peter and Jane books work because each of the key words is introduced gradually and repeated frequently. This builds confidence in children when they recognise these key words on sight (also known as the 'look and say' method of learning). Examples of key words are: the, one, two, he. There are 12 levels, each with 3 books: a, b, and c. Series a: Gradually introduces new words. Series b: Provides further practise of words featured in the 'a' series. Series c: Links reading with writing and phonics. All the words that have been introduced in each 'a' and 'b' book are also reinforced in the 'c' books.","Language, Linguistics & Writing (Books)","Language, Linguistics & Writing"
My True Angel,Mr Irshad Thalakala,"Paperback,– Import, 22 Mar 2018",4.2 out of 5 stars,50 customer reviews,"This is a sweet tale of finding true love. Iqbal, who works in IT company meets a beautiful girl Rubina. Iqbal falls in love with her, but Rubina does not reciprocate the same. Whether any mystery behind this girl Rubina or the destiny is waiting for something else?",Romance (Books),Romance
How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your Memory,Aditi Singhal,"Paperback,– 9 Mar 2015",4.5 out of 5 stars,156 customer reviews,"The quick and easy guide to improving your memory using simple memory techniques by the bestselling author of How to Become a Human Calculator?
Can we really memorize anything? The answer is, ‘Yes we can!' From Guinness World Record holders Aditi Singhal and Sudhir Singhal comes a book that will serve as a manual to explore the immense power of your memory. It will:
Explain concepts with simple illustrations
While teaching you memory techniques, it will also discuss their application in real life, like memorizing appointments, presentations, names and faces, long answers, spellings, formulae, vocabulary, foreign languages and general information.
Give the scientific interpretation of ancient memory-enhancing practices that will be particularly useful for professionals as well as the common man.
Following the unparalleled success of How to Become a Human Calculator, Aditi Singhal and Sudhir Singhal turn their hands to helping you master the right method to input any information using which you can easily memorize anything.",Personal Development & Self-Help (Books),"Biographies, Diaries & True Accounts"
Happy City: Transforming Our Lives Through Urban Design,Charles Montgomery,"Paperback,– 5 Feb 2015",4.5 out of 5 stars,4 customer reviews,"Happy City is the story of how the solutions to this century's problems lie in unlocking the secrets to great city living
This is going to be the century of the city. But what actually makes a good city? Why are some cities a joy to live in?
As Charles Montgomery reveals, it's not how much money your neighbours earn, or how pleasant the climate is that makes the most difference. Journeying to dozens of cities - from Atlanta to Bogotá to Vancouver - he talks to the new champions of the happy city to explore the urban innovations already transforming people's lives. He meets the visionary Colombian mayor who turned some of the world's most dangerous roads into an urban cycling haven; the Danish architect who brought the lessons of medieval Tuscan towns to modern-day Copenhagen; and the New York City transport commissioner who turned the gridlock of Times Square into a place to lounge in the sun.
Drawing on the lessons from their stories, from brain science, and from the fascinating realm of urban experimentation, Happy City offers solutions we can all use to improve our livesandshows that simple changes can make all the difference.
'Do we live in neighbourhoods that make us happy? Montgomery encourages us to ask without embarrassment, and to think intelligently about the answer' The New York Times Book Review
'Excellent . . . Montgomery believes in the importance of smart town planning and Happy City is a compendium of its major ideas' Will Dean, Independent
Charles Montgomery is a journalist and urban experimentalist from Vancouver, Canada. His writings on urban planning, psychology, culture, and history have appeared in magazines and journals on three continents. He is the author of one previous book, and was an original member of the BMW Guggenheim Lab.",Public Policy,Action & Adventure
Bridgman's Complete Guide to Drawing from Life,George B. Bridgman,"Paperback,– Import, 30 Nov 2017",4.2 out of 5 stars,3 customer reviews,"This volume combines six books by celebrated artist and lecturer George A. Bridgman, who taught figure and anatomy drawing at New York City's Art Students League. This fifth edition preserves Bridgman's comprehensive lessons and original sketches - featuring more than 1000 drawings and 22 expert lessons on mastering the human figure from every angle - but repackages it with a new cover that distinguishes it from the competition.","Arts History, Theory & Criticism (Books)","Arts, Film & Photography"
Dork Diaries: Once Upon a Dork,Rachel Renee Russell,"Paperback,– Import, 30 Jul 2015",4.7 out of 5 stars,49 customer reviews,"The Queen of the Dorks is back in a brand new instalment of the internationally bestselling series! After a bump on the head, Nikki has a wild dream in which she, her BFF's Chloe and Zoey, her crush Brandon, and mean girl Mackenzie all end up playing the roles of some familiar classic fairy tale characters. Will Nikki's dream turn into a nightmare? The eighth book in the bestselling Dork Diaries series by Rachel Renee Russell, author of The Misadventures of Max Crumbly (publishing June 2016).",Action & Adventure (Books),Action & Adventure
"Sword Art Online Progressive, Vol. 1 (Novel)",Reki Kawahara,"Paperback,– 24 Mar 2015",4.6 out of 5 stars,3 customer reviews,"One month after Akihiko Kayaba's game of death began, the death toll continues to rise, two thousand players having already lost their lives to the ultra-difficult VRMMO world of Sword Art Online. On the day of the strategy meeting to plan out the first-floor boss battle, Kirito, a solo player who vows to fight alone to get stronger, runs into a rare, high-level female player. She gracefully dispatches powerful monsters with a single rapier that flashes like a shooting star in the night...
This volume contains three stories, including ""Aria of a Starless Night,"" which details how Kirito came to be called the Black Swordsman, and ""Rondo of a Fragile Blade,"" the tragic tale of a young blacksmith that takes place before the second-floor boss fight.",Mangas,Comics & Mangas
A Brush with Indian Art: From Cave to Contemporary Paintings,Mamta Nainy,"Paperback,– Import, 23 Mar 2018",3.0 out of 5 stars,1 customer review,"Winner of the 2019 Hindu Young World-Goodbooks Award for Best Book (Non-Fiction)
Embark on a vivid journey on which you'll learn about the origins and evolution of art in the country. Prepare to be amazed by the first pictures made by early humans; reflect upon the serenity of Buddhist cave paintings at Ajanta; marvel at the splendour of Mughal miniature art; delight in the religious depictions of Tanjore; study the hybrid Company and revivalist Bengal styles; and discover the best of modern and contemporary artists.
Watch it all come alive in intricate black-and-white sketches and stunning photographs of the most celebrated visuals across time.
A rich primer on the different schools of art and the most significant movements in Indian art history, A Brush with Indian Art might even nudge you into propping up your first canvas!","Arts History, Theory & Criticism (Books)","Arts, Film & Photography"
Hit Refresh: The Quest to Rediscover Microsoft’s Soul and Imagine a Better Future for Everyone,Satya Nadella,"Hardcover,– 26 Sep 2017",4.5 out of 5 stars,221 customer reviews,"Hit Refresh is about individual change, about the transformation happening inside of Microsoft and the technology that will soon impact all of our lives—the arrival of the most exciting and disruptive wave of technology humankind has experienced: artificial intelligence, mixed reality, and quantum computing. It’s about how people, organizations, and societies can and must transform and “hit refresh” in their persistent quest for new energy, new ideas, and continued relevance and renewal.
Microsoft’s CEO tells the inside story of the company’s continuing transformation, tracing his own personal journey from a childhood in India to leading some of the most significant technological changes in the digital era. Satya Nadella explores a fascinating childhood before immigrating to the U.S. and how he learned to lead along the way. He then shares his meditations as a sitting CEO—one who is mostly unknown following the brainy Bill Gates and energetic Steve Ballmer. He tells the inside story of how a company rediscovered its soul—transforming everything from culture to their fiercely competitive landscape and industry partnerships. As much a humanist as engineer and executive, Nadella concludes with his vision for the coming wave of technology and by exploring the potential impact to society and delivering call to action for world leaders.
“Ideas excite me,” Nadella explains. “Empathy grounds and centers me.” Hit Refresh is a set of reflections, meditations, and recommendations presented as algorithms from a principled, deliberative leader searching for improvement—for himself, for a storied company, and for society.",Industries & Business Sectors (Books),"Computing, Internet & Digital Media"
